frame_id,relative_path,reason
5002,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213184200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213184200_12.2_54.2_73.0_135.0.png'
5003,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213184800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213184800_12.2_54.2_73.0_135.0.png'
5004,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213185400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213185400_12.2_54.2_73.0_135.0.png'
5005,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213190000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213190000_12.2_54.2_73.0_135.0.png'
5006,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213190600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213190600_12.2_54.2_73.0_135.0.png'
5007,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213191200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213191200_12.2_54.2_73.0_135.0.png'
5008,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213191800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213191800_12.2_54.2_73.0_135.0.png'
5009,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213192400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213192400_12.2_54.2_73.0_135.0.png'
5010,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213193000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213193000_12.2_54.2_73.0_135.0.png'
5011,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213193600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213193600_12.2_54.2_73.0_135.0.png'
5012,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213194200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213194200_12.2_54.2_73.0_135.0.png'
